State,Total Cases
Alabama,1659936
Alaska,301513
Arizona,2508168
Arkansas,1029976
California,12393361
Colorado,1801735
Connecticut,983652
Delaware,336722
Florida,7758207
Georgia,3157491
Hawaii,401852
Idaho,525825
Illinois,4136659
Indiana,2105286
Iowa,1058274
Kansas,946564
Kentucky,1787563
Louisiana,1659969
Maine,326868
Maryland,1394250
Massachusetts,2272428
Michigan,3142827
Minnesota,1812049
Mississippi,1000415
Missouri,1780715
Montana,333758
Nebraska,574399
Nevada,909923
New Hampshire,382013
New Jersey,3124717
New Mexico,681525
New York,7132482
North Carolina,3501404
North Dakota,293900
Ohio,3504742
Oklahoma,1306350
Oregon,974924
Pennsylvania,3565499
Rhode Island,443803
South Carolina,1857853
South Dakota,282895
Tennessee,2588139
Texas,8792279
Utah,1106483
Vermont,154009
Virginia,2315784
Washington,1989477
West Virginia,657760
Wisconsin,2043838
Wyoming,188851
