State,Total Cases,Population,Cases to Population Ratio
Alabama,1659936,4903185,0.34
Alaska,301513,731545,0.41
Arizona,2508168,7278717,0.34
Arkansas,1029976,3017804,0.34
California,12393361,39512223,0.31
Colorado,1801735,5758736,0.31
Connecticut,983652,3565287,0.28
Delaware,336722,973764,0.35
Florida,7758207,21477737,0.36
Georgia,3157491,10617423,0.30
Hawaii,401852,1415872,0.28
Idaho,525825,1787065,0.29
Illinois,4136659,12671821,0.33
Indiana,2105286,6732219,0.31
Iowa,1058274,3155070,0.34
Kansas,946564,2913314,0.32
Kentucky,1787563,4467673,0.40
Louisiana,1659969,4648794,0.36
Maine,326868,1344212,0.24
Maryland,1394250,6045680,0.23
Massachusetts,2272428,6892503,0.33
Michigan,3142827,9986857,0.31
Minnesota,1812049,5639632,0.32
Mississippi,1000415,2976149,0.34
Missouri,1780715,6137428,0.29
Montana,333758,1068778,0.31
Nebraska,574399,1934408,0.30
Nevada,909923,3080156,0.30
New Hampshire,382013,1359711,0.28
New Jersey,3124717,8882190,0.35
New Mexico,681525,2096829,0.33
New York,7132482,19453561,0.37
North Carolina,3501404,10488084,0.33
North Dakota,293900,762062,0.39
Ohio,3504742,11689100,0.30
Oklahoma,1306350,3956971,0.33
Oregon,974924,4217737,0.23
Pennsylvania,3565499,12801989,0.28
Rhode Island,443803,1059361,0.42
South Carolina,1857853,5148714,0.36
South Dakota,282895,884659,0.32
Tennessee,2588139,6829174,0.38
Texas,8792279,28995881,0.30
Total:,108429339,,Infinity
USA Total,108429339,,Infinity
Utah,1106483,3205958,0.35
Vermont,154009,623989,0.25
Virginia,2315784,8535519,0.27
Washington,1989477,7614893,0.26
West Virginia,657760,1792147,0.37
Wisconsin,2043838,5822434,0.35
Wyoming,188851,578759,0.33
